日期,类型,金额,分类,备注
2015-11-01 19:13:45,支出,550.78,母婴,
2015-08-28 12:34:48,收入,412.81,理财,
2015-11-16 05:49:50,支出,579.70,学习,
2015-05-15 04:47:49,支出,287.59,数码,
2015-11-05 22:18:38,收入,462.99,股票,
2015-11-24 09:39:40,收入,113.01,退税退费,
2015-09-03 09:11:15,收入,26.15,股票,
2015-04-14 11:26:54,支出,36.61,退款,
2015-09-22 18:25:22,收入,278.16,工资,
2015-12-24 19:44:58,收入,165.70,报销,
2015-09-19 03:41:43,支出,346.93,游戏,
2015-08-23 16:41:45,支出,339.91,社保,
2015-11-17 10:06:21,收入,470.01,退税退费,
2015-05-20 01:04:16,收入,439.44,奖金,
2015-10-15 06:42:00,支出,183.26,打车,
2015-06-17 14:08:36,收入,211.80,退税退费,
2015-09-20 19:32:22,支出,604.74,餐饮,
2015-08-04 10:52:46,收入,377.11,理财,
2015-05-08 14:10:28,收入,181.02,股票,节日红包
2015-07-19 19:11:35,收入,232.41,奖金,年度结算表
2015-01-18 06:05:07,支出,139.54,教育,
2015-12-05 01:43:55,收入,184.08,理财,
2015-05-20 01:36:33,支出,310.01,日用品,
2015-07-23 08:58:49,支出,157.26,地铁,
2015-04-15 10:51:11,支出,68.44,社保,
2015-09-12 14:29:45,支出,730.72,游戏,
2015-02-02 23:52:58,支出,234.58,爱人,
2015-04-12 19:38:50,支出,143.24,娱乐,
2015-01-04 19:46:22,支出,784.13,捐赠,
2015-10-28 06:03:03,收入,413.76,退税退费,交通费
2015-05-15 09:06:53,收入,478.90,二手转卖,
2015-11-21 18:18:12,收入,296.89,红包,
2015-01-23 00:19:44,支出,619.83,通讯,
2015-12-07 06:06:14,支出,633.31,退款,
2015-06-06 08:36:00,支出,169.85,游戏,
2015-07-09 09:22:22,支出,456.97,维修,
2015-07-24 10:38:34,收入,13.19,理财,
2015-05-28 05:44:16,支出,286.12,交通,
2015-04-20 06:26:39,收入,482.46,理财,
2015-09-23 13:56:34,收入,152.70,礼金,
2015-03-01 21:37:08,收入,423.45,兼职,
2015-08-07 11:46:31,收入,396.18,奖金,
2015-01-11 05:08:34,收入,354.79,工作,
2015-03-11 18:20:16,支出,479.71,宠物,
2015-03-04 13:57:37,收入,107.47,二手转卖,
2015-07-19 06:47:22,收入,468.88,工作,
2015-11-16 20:36:11,支出,330.23,外卖,
2015-08-12 04:35:52,支出,405.97,停车,
2015-08-14 21:37:56,收入,88.28,工作,餐饮消费
2015-03-17 07:01:23,收入,377.61,红包,
2015-06-10 12:12:06,收入,483.30,二手转卖,
2015-05-27 13:47:22,收入,13.29,奖金,
2015-03-04 01:43:24,收入,77.56,退税退费,
2015-03-14 15:38:59,支出,522.25,住房,
2015-08-20 04:13:49,收入,199.48,工作,
2015-02-23 17:14:17,支出,420.36,水果,
2015-10-22 02:06:43,支出,238.71,装修,
2015-07-08 08:37:30,收入,295.07,礼金,
2015-07-15 12:36:39,收入,417.30,工作,
2015-08-13 22:17:57,支出,772.58,通讯,
2015-08-13 20:03:04,收入,363.37,股票,
2015-04-18 05:55:09,收入,13.99,红包,
2015-04-01 23:40:23,收入,173.36,二手转卖,
2015-12-03 20:21:16,收入,4938.00,工资,
2015-09-19 15:11:08,支出,221.81,服装,
2015-01-06 05:18:03,支出,330.38,学习,
2015-01-07 04:08:25,收入,115.87,礼金,
2015-09-07 15:01:09,支出,107.73,交通,
2015-02-23 05:10:54,收入,233.45,二手转卖,
2015-10-02 06:29:36,支出,670.87,餐饮,
2015-01-07 01:12:20,支出,772.94,交通,
2015-05-04 16:24:46,支出,30.45,退款,
2015-10-14 16:38:30,收入,163.07,工资,
2015-09-05 02:44:07,支出,544.76,彩票,
2015-03-05 19:23:07,支出,459.58,烟酒,
2015-03-05 08:21:01,收入,332.90,公积金,
2015-08-07 17:04:47,收入,85.80,利息,
2015-11-24 12:57:44,支出,641.58,数码,
2015-01-01 15:34:44,支出,706.68,维修,
2015-02-05 00:19:23,收入,320.35,礼金,
2015-01-18 18:40:50,收入,443.43,二手转卖,
2015-01-25 00:34:32,收入,245.10,兼职,
2015-02-28 15:35:40,收入,492.52,社会保障,
2015-04-22 02:55:33,支出,175.08,教育,
2015-06-24 18:33:33,收入,282.15,礼金,
2015-04-13 19:32:52,收入,332.08,社会保障,
2015-04-23 10:45:01,支出,400.96,美容,
2015-03-07 18:49:11,支出,323.47,日用品,
2015-12-15 04:04:35,收入,27.31,理财,
2015-07-20 23:51:53,收入,303.13,利息,
2015-01-17 04:08:32,支出,8.45,汽车,物业费
2015-04-11 20:39:53,收入,479.99,工作,
2015-12-07 19:18:07,支出,718.44,停车,
2015-03-01 05:46:55,收入,5048.00,工资,
2015-11-28 01:07:17,收入,126.62,退税退费,
2015-07-12 04:46:43,收入,207.14,理财,
2015-11-20 19:39:09,收入,135.23,公积金,
2015-02-20 22:55:36,收入,375.63,二手转卖,
2015-10-24 11:00:49,支出,419.09,数码,
2015-06-25 12:17:24,收入,367.79,退税退费,
2015-02-27 13:37:04,收入,238.57,工作,
2015-10-07 23:26:12,收入,434.85,工作,
2015-11-27 12:17:42,支出,630.60,运动,
2015-08-07 05:37:50,收入,490.78,股票,
2015-11-12 13:29:48,收入,148.52,社会保障,
2015-12-07 12:07:30,支出,776.44,维修,运动健身
2015-06-17 17:38:03,支出,180.22,装修,
2015-05-28 23:41:22,收入,126.68,社会保障,
2015-11-12 14:01:26,收入,493.03,工资,年度预算表
2015-11-03 19:03:27,支出,258.80,服装,
2015-02-17 10:49:15,收入,239.24,报销,退款到账
2015-01-15 03:38:46,支出,232.30,水果,
2015-11-14 04:37:14,支出,777.06,捐赠,
2015-01-12 10:04:02,支出,577.28,捐赠,
2015-02-28 09:11:56,支出,243.23,退款,
2015-03-16 10:27:52,收入,190.32,奖金,数码产品
2015-02-18 18:41:35,收入,417.61,奖金,
2015-11-11 21:30:15,支出,456.49,停车,
2015-05-06 09:13:56,支出,167.04,交通,
2015-08-13 15:27:46,收入,100.40,工作,
2015-08-13 10:59:04,收入,498.97,退税退费,
2015-02-28 09:09:23,支出,306.25,水果,
2015-08-02 00:51:50,支出,634.14,居家,
2015-05-28 14:16:33,收入,5020.00,工资,
2015-10-03 14:18:09,收入,237.22,奖金,
2015-04-13 12:01:20,收入,277.82,兼职,
2015-12-04 00:37:07,支出,272.29,水果,
2015-01-16 08:25:19,收入,334.30,社会保障,报销成功
2015-07-22 16:47:59,收入,166.41,红包,
2015-07-08 12:48:14,支出,183.18,汽车,
2015-02-01 14:33:07,支出,516.19,美容,年度支出
2015-11-21 00:13:53,收入,240.24,工作,
2015-07-17 11:26:15,支出,184.01,快递,年度结余
2015-04-08 20:15:34,支出,212.75,美容,
2015-07-04 04:17:35,支出,199.81,住房,
2015-01-27 17:41:23,收入,476.18,工作,
2015-03-17 16:59:29,支出,158.52,教育,
2015-10-25 04:52:23,收入,494.99,退税退费,
2015-05-26 09:19:53,支出,555.12,教育,
2015-04-05 01:28:53,收入,241.58,礼金,
2015-06-14 05:51:47,支出,656.83,地铁,
2015-09-14 15:25:27,支出,432.12,购物,
2015-02-10 22:19:16,收入,459.28,工资,
2015-11-21 15:41:51,收入,366.13,公积金,
2015-04-26 12:06:37,支出,432.25,爱人,
2015-01-06 05:01:02,支出,603.45,退款,
2015-03-10 07:11:35,收入,239.30,报销,
2015-06-21 23:08:48,支出,721.09,教育,
2015-12-01 05:44:04,支出,152.89,餐饮,
2015-04-13 04:10:44,收入,343.94,社会保障,
2015-04-10 04:17:12,支出,476.67,运动,
2015-09-05 03:08:45,收入,496.45,理财,
2015-03-26 23:28:46,收入,488.55,奖金,美容护肤
2015-04-15 10:40:23,收入,4984.00,工资,年度结余
2015-07-11 01:32:36,支出,33.13,日用品,
2015-03-02 03:11:54,收入,200.72,兼职,
2015-05-25 15:30:32,支出,14.01,水果,
2015-09-24 01:47:17,收入,106.57,礼金,
2015-12-10 00:41:53,收入,21.58,工作,
2015-03-23 09:08:42,支出,80.11,居家,
2015-04-11 07:55:16,收入,245.80,股票,
2015-05-06 19:57:37,支出,251.99,地铁,
2015-02-27 17:14:56,支出,299.76,彩票,
2015-12-07 18:56:03,收入,424.48,礼金,
2015-10-06 19:06:56,收入,409.08,公积金,年度审计表
2015-01-15 11:30:11,收入,52.08,利息,运动健身
2015-12-18 22:34:08,收入,485.07,退税退费,
2015-08-20 22:01:09,收入,354.63,报销,
2015-04-28 19:43:56,支出,50.81,娱乐,
2015-03-17 23:56:23,支出,576.48,医疗,
2015-09-07 22:40:14,收入,154.69,股票,
2015-01-07 03:15:02,收入,400.31,报销,
2015-09-25 07:32:03,收入,393.36,报销,
2015-11-04 14:29:14,支出,131.91,汽车,
2015-02-12 04:46:11,支出,351.67,社保,
2015-04-14 14:25:57,支出,333.94,水电,
2015-09-08 00:59:14,收入,225.26,公积金,
2015-08-01 02:00:08,支出,286.25,餐饮,
2015-07-04 01:33:42,支出,439.38,教育,
2015-03-07 14:31:48,支出,49.69,烟酒,
2015-05-07 19:09:52,收入,385.23,理财,
2015-11-04 22:11:56,收入,425.23,工资,
2015-05-02 08:09:24,收入,315.46,股票,
2015-02-05 01:59:36,支出,719.27,水电,
2015-09-10 05:10:52,支出,588.25,水电,爱人礼物
2015-08-12 11:01:29,支出,320.12,纳税,
2015-05-05 17:57:33,收入,161.54,公积金,
2015-01-05 13:20:17,支出,64.76,纳税,
2015-10-10 05:18:44,收入,64.75,报销,
2015-01-15 01:47:05,收入,171.45,二手转卖,
2015-09-12 12:46:18,收入,388.52,退税退费,
2015-01-02 23:37:15,支出,782.29,家庭,
2015-05-08 13:33:34,支出,589.61,日用品,
2015-07-10 00:27:34,支出,618.12,医疗,
2015-04-11 22:32:09,收入,245.78,兼职,
2015-12-05 13:10:05,支出,740.36,宠物,
2015-08-20 10:39:57,支出,570.49,饮料,
2015-01-12 23:15:15,支出,652.44,快递,
2015-01-03 18:57:16,支出,596.49,旅行,
2015-04-04 21:02:01,支出,681.73,饮料,
2015-02-07 05:10:20,支出,107.83,医疗,
2015-09-15 12:10:26,支出,180.63,地铁,
2015-07-07 08:48:26,收入,371.15,奖金,
2015-12-01 23:41:23,支出,399.06,纳税,物业费
2015-07-05 00:20:43,收入,299.90,兼职,
2015-05-21 04:36:03,支出,551.84,水果,
2015-04-10 00:12:06,收入,417.67,社会保障,
2015-10-16 20:33:51,支出,35.44,居家,
2015-02-10 22:57:18,支出,284.83,教育,
2015-05-01 14:25:34,收入,166.11,利息,
2015-11-16 13:30:37,收入,159.57,报销,
2015-07-23 20:42:48,收入,452.97,奖金,
2015-04-01 02:33:57,收入,389.74,兼职,
2015-04-03 14:05:11,收入,5027.00,工资,
2015-04-03 12:12:13,支出,384.38,水电,
2015-04-09 22:52:34,支出,333.08,购物,
2015-05-21 06:33:29,收入,62.68,报销,
2015-07-16 13:56:37,收入,285.53,奖金,
2015-06-25 23:37:45,收入,138.91,工作,
2015-01-22 10:26:26,收入,346.82,兼职,
2015-10-19 22:01:23,收入,209.79,报销,
2015-12-15 11:27:18,收入,99.13,奖金,
2015-11-20 12:02:20,收入,148.89,礼金,
2015-11-16 10:15:13,收入,358.63,工作,
2015-05-25 09:05:01,收入,271.15,理财,医疗报销
2015-08-20 20:23:43,支出,583.04,交通,
2015-05-25 22:24:20,收入,340.66,红包,
2015-07-18 11:16:09,收入,479.35,报销,
2015-03-06 19:38:11,收入,50.80,理财,
2015-08-20 09:33:50,支出,370.48,旅行,
2015-03-27 20:55:52,收入,167.81,股票,
2015-02-04 02:05:19,支出,600.58,日用品,
2015-04-19 15:22:57,支出,277.16,烟酒,
2015-01-10 03:53:46,支出,372.77,教育,年度统计
2015-03-08 10:06:20,支出,390.15,社交,
2015-08-24 02:54:10,收入,359.73,公积金,
2015-03-13 06:56:39,支出,240.14,零食,
2015-04-14 15:14:57,支出,649.46,宠物,
2015-07-10 07:33:05,收入,218.19,公积金,节日红包
2015-08-27 19:39:58,支出,112.91,日用品,
2015-08-17 01:01:51,支出,691.36,餐饮,停车费
2015-03-27 07:05:07,收入,350.39,二手转卖,
2015-08-27 13:17:35,收入,253.59,股票,年度核算表
2015-02-27 15:21:42,支出,30.54,服装,
2015-05-03 19:21:40,收入,484.70,股票,
2015-10-26 11:02:03,支出,541.45,纳税,
2015-04-21 15:03:42,支出,479.31,宠物,
2015-01-08 11:36:15,支出,675.03,汽车,
2015-08-13 07:59:28,收入,274.55,红包,
2015-08-08 15:05:45,收入,304.08,报销,
2015-01-12 18:14:59,收入,67.01,礼金,年度账单
2015-11-22 13:37:34,支出,641.05,交通,
2015-11-22 09:10:30,收入,95.81,公积金,交通补贴
2015-02-09 09:34:57,收入,84.63,红包,
2015-10-27 15:24:35,支出,396.01,运动,
2015-01-07 16:27:45,支出,237.00,零食,
2015-10-26 01:17:30,支出,223.43,社保,
2015-03-28 02:00:31,支出,238.40,退款,
2015-09-20 01:04:59,支出,280.59,彩票,公积金到账
2015-08-24 08:47:39,支出,470.00,社交,
2015-04-15 11:25:07,收入,330.74,红包,
2015-06-06 05:23:14,收入,162.71,礼金,
2015-08-28 09:14:09,支出,249.58,饮料,
2015-07-13 05:25:59,收入,458.45,二手转卖,
2015-12-01 11:28:08,支出,603.72,数码,
2015-11-28 00:17:09,支出,408.60,旅行,
2015-04-28 00:41:25,收入,102.02,工作,
2015-06-25 15:57:57,支出,23.82,母婴,
2015-08-21 23:56:56,收入,338.58,报销,
2015-09-24 10:51:51,收入,320.32,二手转卖,
2015-08-22 12:47:10,支出,139.66,饮料,
2015-03-16 23:26:06,支出,482.23,居家,
2015-12-22 08:50:32,支出,458.31,购物,
2015-08-28 10:56:26,收入,5061.00,工资,
2015-11-14 20:51:55,支出,305.22,学习,
2015-11-24 02:11:10,收入,447.68,利息,
2015-12-08 10:06:21,收入,181.37,公积金,
2015-01-07 01:53:40,支出,504.12,娱乐,
2015-04-19 19:17:48,收入,371.38,工资,
2015-04-06 07:06:04,收入,316.84,理财,
2015-10-23 01:31:17,支出,340.63,交通,
2015-02-27 19:16:22,支出,726.36,教育,
2015-07-11 01:56:26,支出,12.50,纳税,
2015-05-01 19:14:52,收入,158.13,股票,
2015-05-09 10:38:56,支出,319.89,快递,
2015-04-18 18:33:47,收入,464.02,工资,兼职收入
2015-03-01 20:16:26,收入,393.12,奖金,
2015-06-17 14:05:58,支出,670.30,地铁,
2015-10-15 10:34:35,收入,415.07,退税退费,
2015-11-03 16:24:11,支出,407.84,汽车,
2015-09-28 15:39:23,支出,407.13,装修,
2015-01-09 03:23:20,收入,451.22,理财,
2015-09-17 06:26:10,支出,477.32,餐饮,
2015-11-01 13:31:32,支出,714.41,餐饮,年度考核
2015-12-28 23:53:22,收入,325.40,退税退费,
2015-01-18 04:09:24,支出,192.82,家庭,
2015-04-06 04:53:33,收入,455.18,股票,
2015-10-02 01:01:45,支出,754.05,纳税,
2015-07-14 02:45:43,支出,459.52,爱人,
2015-10-21 19:33:02,收入,298.03,二手转卖,
2015-03-28 19:18:16,收入,174.32,公积金,旅游计划
2015-09-18 14:22:33,收入,253.57,二手转卖,报销成功
2015-09-21 01:11:29,支出,144.31,爱人,
2015-02-09 03:12:20,收入,5009.00,工资,
2015-12-04 19:30:33,支出,626.29,纳税,
2015-01-07 18:40:33,支出,42.90,数码,
2015-09-18 23:21:09,收入,457.16,股票,
2015-04-12 07:19:40,支出,180.30,地铁,
2015-03-24 02:05:19,收入,14.53,红包,
2015-05-01 08:42:09,收入,371.57,公积金,
2015-11-20 08:50:21,收入,396.97,二手转卖,
2015-10-12 22:05:56,支出,413.97,零食,
2015-11-02 16:48:43,支出,633.98,停车,
2015-09-21 06:57:55,收入,302.97,工资,
2015-06-08 05:57:14,收入,385.26,报销,
2015-10-20 05:15:02,支出,546.19,数码,
2015-03-18 21:23:40,收入,102.42,红包,
2015-08-24 17:56:28,收入,157.08,奖金,运动健身
2015-08-16 19:21:16,收入,362.00,工资,
2015-10-19 03:46:11,支出,154.90,饮料,
2015-01-02 19:57:28,支出,309.31,饮料,
2015-11-10 15:48:47,收入,443.74,工资,
2015-08-18 11:43:14,支出,209.31,物业,医疗报销
2015-04-21 03:45:30,支出,352.23,爱人,
2015-07-12 23:17:03,支出,580.94,购物,
2015-04-15 22:45:27,收入,42.82,二手转卖,
2015-08-21 23:18:47,支出,300.06,游戏,
2015-04-26 21:45:55,收入,281.00,公积金,
2015-12-13 01:43:45,收入,375.63,退税退费,
2015-06-26 06:27:49,收入,437.66,利息,宠物护理
2015-10-19 06:58:52,支出,268.03,运动,
2015-05-28 19:18:23,支出,664.23,居家,
2015-08-08 22:22:30,支出,479.77,学习,
2015-01-26 08:20:32,支出,451.23,外卖,
2015-05-20 19:29:43,支出,17.17,社保,年度报告表
2015-05-22 13:30:31,支出,446.35,运动,工资收入
2015-10-06 18:36:47,支出,613.00,彩票,
2015-11-25 11:16:06,支出,420.82,社交,爱人礼物
2015-12-18 23:37:16,收入,277.41,报销,
2015-03-02 00:15:57,收入,449.93,报销,
2015-11-18 21:53:46,收入,279.52,工资,
2015-10-14 14:26:46,支出,33.20,饮料,
2015-11-17 08:28:35,收入,232.58,股票,
2015-12-28 03:57:31,支出,367.75,水电,
2015-10-10 21:40:59,收入,460.95,股票,
2015-09-20 04:22:45,支出,25.52,爱人,
2015-08-03 09:15:47,支出,555.45,数码,
2015-02-05 19:38:33,收入,446.84,公积金,
2015-12-23 03:50:40,收入,23.46,股票,
2015-10-24 10:27:43,收入,89.13,兼职,
2015-05-28 18:13:15,支出,5.51,母婴,
2015-01-18 08:57:10,收入,80.94,退税退费,
2015-06-10 10:57:49,收入,347.78,利息,
2015-07-28 02:00:57,收入,472.48,工作,
2015-03-05 21:22:35,收入,473.70,报销,
2015-04-19 09:30:59,收入,359.14,利息,
2015-09-23 06:45:33,收入,86.84,红包,年度支出
2015-12-27 12:13:10,收入,248.95,工资,
2015-02-05 16:53:24,支出,434.32,停车,
2015-02-08 19:57:45,收入,461.19,社会保障,年度结算
2015-12-26 15:02:14,收入,232.93,公积金,
2015-03-24 14:59:19,收入,100.32,兼职,
2015-09-04 02:20:14,支出,176.72,退款,
2015-05-08 03:10:39,支出,203.07,退款,
2015-08-20 07:03:54,收入,299.21,礼金,
2015-03-12 08:41:20,收入,113.09,奖金,
2015-07-08 15:17:05,支出,361.45,母婴,
2015-01-20 21:17:18,支出,11.11,汽车,
2015-12-27 22:20:52,支出,477.87,交通,
2015-07-25 09:04:00,支出,643.14,水电,
2015-02-14 16:03:02,支出,257.32,汽车,
2015-12-21 11:13:55,收入,119.69,股票,
2015-06-19 13:37:51,收入,221.18,退税退费,
2015-05-14 07:44:17,支出,270.48,美容,
2015-09-08 00:50:49,支出,286.08,娱乐,
2015-11-01 21:36:04,支出,534.58,烟酒,
2015-08-10 18:31:32,收入,495.84,工作,
2015-03-19 19:19:52,支出,252.60,居家,
2015-01-19 20:08:49,收入,362.00,红包,
2015-08-20 21:56:07,收入,296.07,兼职,
2015-11-14 23:40:05,收入,88.65,奖金,
2015-11-14 17:56:25,收入,197.34,兼职,
2015-11-04 23:10:31,支出,46.74,外卖,
2015-02-14 16:03:37,收入,69.42,利息,
2015-07-01 21:48:42,收入,71.23,股票,
2015-11-20 09:26:11,支出,289.67,数码,
2015-01-01 17:59:38,收入,207.44,退税退费,
2015-01-16 19:30:22,收入,197.79,理财,
2015-12-25 03:39:50,收入,453.90,二手转卖,
2015-09-10 09:18:34,支出,216.13,日用品,
2015-08-18 15:42:05,支出,7.96,居家,
2015-07-17 11:11:04,支出,242.99,装修,
2015-01-20 11:51:56,收入,336.79,理财,
2015-09-25 01:08:30,收入,4914.00,工资,
2015-09-14 18:22:17,收入,93.75,退税退费,
2015-04-02 06:28:21,支出,739.62,交通,
2015-08-17 11:41:49,支出,156.60,母婴,
2015-05-24 21:13:38,支出,102.72,学习,
2015-08-09 07:24:12,收入,168.90,公积金,
2015-01-20 09:49:30,支出,459.53,娱乐,
2015-01-13 19:28:47,收入,92.81,工作,
2015-11-18 15:13:52,收入,488.93,礼金,
2015-01-28 19:11:49,收入,99.33,工作,
2015-06-13 14:41:14,收入,190.17,二手转卖,
2015-03-20 18:14:33,收入,335.72,奖金,
2015-09-18 15:37:46,支出,785.51,水果,
2015-05-15 06:34:14,支出,404.96,烟酒,
2015-06-17 09:50:09,支出,391.36,烟酒,
2015-02-20 14:03:36,收入,129.63,二手转卖,
2015-03-05 08:06:39,收入,386.40,礼金,
2015-01-24 08:13:37,支出,743.07,服装,
2015-12-25 15:58:07,收入,339.58,礼金,
2015-12-10 23:06:26,支出,168.84,饮料,
2015-08-10 08:07:37,支出,248.61,居家,
2015-06-02 01:01:18,支出,607.45,打车,
2015-05-28 17:14:42,收入,50.75,奖金,
2015-01-08 19:53:09,支出,106.17,教育,
2015-12-17 00:35:15,支出,66.70,通讯,
2015-01-06 00:40:22,收入,495.36,工资,
2015-09-05 08:45:35,支出,630.79,居家,
2015-05-19 04:25:59,支出,635.66,烟酒,
2015-03-02 19:43:05,收入,163.47,社会保障,
2015-11-18 01:49:43,支出,541.98,美容,
2015-05-27 13:52:56,收入,5078.00,工资,年度对账表
2015-03-05 10:08:49,支出,63.46,宠物,
2015-10-06 18:47:06,收入,265.30,报销,
2015-09-23 17:26:09,支出,281.98,居家,
2015-12-25 18:59:17,收入,24.43,二手转卖,
2015-05-20 12:08:10,收入,494.21,红包,
2015-05-28 14:59:42,支出,629.74,购物,
2015-03-13 23:23:39,收入,278.87,公积金,
2015-11-25 01:52:09,支出,659.35,住房,
2015-12-03 17:19:23,支出,783.09,数码,
2015-02-23 12:53:01,收入,310.31,工作,
2015-02-21 06:16:03,支出,699.87,旅行,
2015-12-08 19:31:15,支出,689.97,娱乐,
2015-02-03 18:13:22,收入,487.74,奖金,
2015-04-05 19:49:16,支出,372.95,运动,装修进度
2015-06-24 16:54:13,收入,104.27,退税退费,理财收益
2015-05-06 11:20:52,收入,323.21,工作,
2015-05-20 05:15:57,支出,209.84,水果,
2015-12-17 18:36:24,收入,58.56,工作,
2015-08-01 18:42:38,收入,108.63,工作,
2015-10-21 09:47:59,支出,478.55,地铁,
2015-03-24 16:36:33,支出,684.73,彩票,
2015-09-06 06:04:58,收入,377.64,兼职,家庭装修
2015-11-20 20:13:28,收入,39.39,社会保障,
2015-12-02 09:36:06,收入,74.03,理财,
2015-05-15 01:40:29,收入,254.76,报销,
2015-08-03 15:09:13,收入,317.96,兼职,年度结算表
2015-08-27 05:54:12,支出,423.55,餐饮,
2015-05-17 15:58:12,收入,345.79,二手转卖,年度目标
2015-11-10 22:00:44,收入,254.96,工作,
2015-06-19 04:03:44,支出,178.16,零食,
2015-10-25 07:55:03,收入,170.46,兼职,
2015-06-26 21:15:31,收入,416.04,奖金,
2015-09-27 12:34:10,支出,322.08,汽车,
2015-08-05 03:40:58,收入,378.91,礼金,
2015-08-15 06:29:17,收入,231.02,红包,
2015-11-24 08:42:53,收入,492.21,报销,
2015-07-19 06:44:19,支出,451.32,旅行,
2015-08-04 11:53:48,支出,234.32,退款,
2015-03-01 02:05:18,支出,211.35,维修,
2015-11-12 03:33:47,支出,358.60,书,
2015-07-06 16:08:46,收入,350.49,工资,
2015-12-06 23:25:19,支出,760.70,购物,
2015-01-27 06:26:40,收入,368.92,股票,
2015-02-18 06:36:32,支出,619.34,彩票,
2015-12-26 08:17:37,支出,557.11,彩票,
2015-03-28 22:00:42,支出,261.39,烟酒,
