Date,Type,Amount,Category,Note
2015-07-20 10:18:35,Expense,766.23,Taxi,
2015-06-03 04:07:35,Income,395.59,Gift,
2015-02-14 02:35:24,Income,254.63,Part-time,
2015-09-21 03:31:21,Expense,783.02,Tax,
2015-07-20 12:01:20,Expense,423.86,Book,
2015-11-27 23:25:27,Income,253.00,Work,
2015-02-05 02:49:29,Expense,75.22,Digital,
2015-02-04 20:38:25,Income,175.95,Salary,
2015-10-09 06:50:38,Expense,293.66,Travel,
2015-10-13 04:17:20,Income,248.28,Investment,
2015-11-15 08:47:06,Expense,207.42,Benefit,
2015-07-20 02:37:53,Expense,135.66,Lottery,
2015-09-11 12:25:24,Income,345.30,Reimbursement,
2015-08-14 06:58:14,Expense,672.25,Education,
2015-10-12 17:30:35,Income,460.27,Interest,
2015-12-13 10:59:29,Income,218.94,Bonus,
2015-07-21 09:47:52,Expense,621.97,Care,
2015-05-15 10:43:05,Expense,422.16,Subway,
2015-07-11 10:32:33,Expense,793.96,Entertainment,
2015-03-07 20:10:25,Income,50.58,Salary,
2015-04-23 15:21:00,Income,332.97,Gift,
2015-11-25 02:26:07,Income,284.82,Part-time,
2015-09-19 17:14:57,Expense,577.93,Game,
2015-06-07 07:26:43,Expense,482.36,Transport,
2015-05-12 23:56:59,Income,150.01,Salary,
2015-01-01 21:29:40,Income,157.18,Gift,
2015-10-11 16:51:53,Expense,429.38,Learning,red
2015-05-03 06:35:53,Income,390.36,Stock,Annual
2015-05-22 17:16:50,Expense,738.83,Shopping,plan
2015-03-03 18:18:22,Expense,51.68,Baby,
2015-06-12 01:08:54,Expense,114.42,Communication,
2015-05-04 17:06:05,Expense,113.97,Digital,
2015-04-10 11:28:12,Expense,146.71,Decoration,
2015-09-07 05:15:51,Income,83.59,Interest,
2015-02-25 10:49:48,Expense,38.80,Book,
2015-10-04 01:36:40,Expense,541.37,Care,
2015-05-25 23:27:36,Income,190.49,Work,
2015-05-17 05:43:37,Income,492.26,Reimbursement,
2015-03-13 22:50:05,Expense,426.07,Baby,
2015-06-03 04:46:29,Income,205.85,Stock,
2015-09-21 07:23:06,Income,461.22,Bonus,
2015-02-02 09:32:09,Income,416.34,Investment,
2015-11-04 11:02:47,Income,56.14,Stock,
2015-07-27 19:22:38,Expense,526.09,Delivery,
2015-01-18 03:33:38,Income,50.56,Interest,
2015-08-26 01:19:20,Expense,372.06,Express,
2015-07-08 10:28:39,Income,394.46,Gift,
2015-11-18 00:25:26,Expense,485.24,Provident,
2015-05-18 23:33:07,Income,58.70,Interest,
2015-10-08 07:57:04,Expense,510.48,Pets,
2015-02-13 16:41:04,Expense,768.60,Property,
2015-12-10 01:55:19,Income,88.98,Interest,
2015-08-14 10:16:44,Income,217.84,Part-time,Pet
2015-11-20 13:33:15,Income,280.73,Stock,
2015-09-16 19:03:53,Expense,290.35,Tax,
2015-11-12 01:37:14,Expense,552.81,Taxi,
2015-06-26 21:09:03,Income,440.32,Gift,
2015-05-26 16:31:11,Expense,517.52,Repair,
2015-04-17 06:40:15,Income,321.80,Stock,
2015-10-24 19:55:31,Income,371.62,Investment,
2015-04-09 14:50:09,Expense,379.15,Snacks,
2015-11-18 08:04:38,Income,386.66,Bonus,
2015-02-06 15:30:51,Income,16.69,Reimbursement,
2015-05-15 03:47:31,Expense,421.77,Packet,
2015-05-20 23:51:16,Expense,435.77,Dining,
2015-06-12 11:38:01,Expense,577.52,Property,
2015-09-17 04:36:13,Expense,437.53,Tobacco,
2015-04-25 16:26:53,Expense,475.19,Book,
2015-01-18 04:00:02,Income,209.43,Part-time,
2015-02-06 08:55:20,Expense,717.53,Social,
2015-06-02 19:58:32,Income,242.22,Work,
2015-11-06 20:37:24,Income,492.57,Bonus,
2015-10-24 23:25:19,Expense,457.92,Medical,Birthday
2015-03-04 16:45:40,Expense,128.04,Beauty,
2015-07-24 17:14:44,Income,257.21,Stock,
2015-07-17 12:22:27,Income,311.67,Reimbursement,
2015-07-07 06:17:58,Expense,692.56,Tax,
2015-10-20 04:26:57,Income,166.79,Part-time,
2015-06-28 04:46:22,Income,90.68,Salary,
2015-11-04 06:57:59,Expense,100.96,Red,
2015-05-23 12:25:31,Expense,664.83,Sale,
2015-11-21 22:19:36,Income,471.80,Reimbursement,
2015-01-10 05:10:23,Income,103.15,Interest,
2015-04-11 18:03:59,Expense,506.26,Snacks,
2015-02-21 08:04:43,Income,102.37,Interest,
2015-09-12 06:16:53,Expense,616.37,Transport,
2015-06-20 11:37:41,Expense,447.95,Social,
2015-09-27 18:41:35,Expense,95.04,Travel,
2015-11-08 15:27:24,Income,70.45,Interest,
2015-02-21 13:22:12,Income,470.13,Stock,
2015-05-21 01:40:47,Income,431.03,Part-time,
2015-07-06 22:22:51,Income,61.37,Part-time,
2015-07-10 00:08:24,Income,199.51,Salary,
2015-08-11 08:30:43,Income,125.29,Interest,
2015-12-25 12:15:24,Income,4932.00,Salary,
2015-06-03 16:50:18,Income,145.96,Interest,snacks
2015-12-17 02:55:49,Expense,155.98,Beauty,
2015-12-14 03:56:11,Income,462.04,Gift,
2015-06-26 06:26:15,Expense,312.05,Book,
2015-06-17 05:26:53,Expense,623.33,Express,Stock
2015-07-23 21:20:38,Income,66.54,Work,
2015-11-10 04:23:10,Income,129.94,Part-time,expense
2015-08-16 17:47:27,Expense,177.48,Education,
2015-08-20 12:51:59,Expense,496.39,Repair,
2015-03-11 01:05:25,Income,87.74,Bonus,
2015-02-15 05:43:48,Expense,185.32,Fund,
2015-05-12 15:14:46,Expense,596.50,Lottery,
2015-11-23 05:54:16,Income,305.79,Interest,
2015-02-07 08:46:04,Expense,131.97,Pets,
2015-05-26 17:20:44,Income,246.20,Gift,
2015-04-20 06:54:26,Income,465.50,Bonus,
2015-09-16 20:36:51,Expense,145.56,Digital,
2015-12-18 09:53:45,Income,340.58,Part-time,
2015-02-20 16:35:55,Expense,780.03,Lover,
2015-06-19 13:44:26,Expense,700.69,Clothing,
2015-08-14 22:45:13,Expense,491.30,Baby,
2015-04-21 22:29:40,Income,286.29,Bonus,
2015-01-14 20:55:42,Expense,751.51,Subway,
2015-09-14 22:16:08,Income,233.85,Stock,
2015-03-21 02:29:59,Income,460.39,Interest,
2015-05-17 17:56:26,Income,379.36,Investment,
2015-03-23 03:46:39,Income,101.66,Reimbursement,
2015-07-03 04:14:01,Income,372.91,Salary,
2015-06-10 12:09:31,Income,321.57,Work,
2015-03-19 06:58:04,Income,5086.00,Salary,
2015-05-24 00:05:15,Income,130.15,Part-time,
2015-03-26 00:30:57,Income,88.56,Bonus,
2015-06-03 12:59:05,Income,260.51,Stock,
2015-11-11 09:23:34,Expense,194.06,Delivery,
2015-10-08 19:11:21,Income,490.97,Gift,
2015-05-16 17:55:21,Income,368.42,Investment,
2015-04-10 01:05:47,Income,296.58,Gift,
2015-06-28 06:23:19,Income,414.07,Reimbursement,
2015-07-18 09:18:57,Income,316.69,Investment,
2015-02-06 09:46:12,Expense,195.80,Family,
2015-08-13 23:30:38,Income,216.13,Work,
2015-08-15 05:03:12,Expense,373.36,Sale,
2015-04-08 02:03:55,Expense,543.47,Social,
2015-08-07 10:29:22,Income,284.20,Salary,
2015-03-23 13:25:05,Income,230.42,Work,
2015-12-16 00:06:40,Expense,489.35,Game,
2015-11-16 21:06:52,Income,477.44,Stock,
2015-09-18 15:01:07,Expense,369.30,Provident,
2015-09-26 22:16:10,Income,245.66,Investment,
2015-05-21 06:15:48,Income,44.67,Salary,
2015-03-03 15:50:10,Income,228.18,Bonus,
2015-09-02 07:14:46,Expense,18.05,Social,
2015-07-26 16:45:16,Income,119.39,Bonus,
2015-12-23 08:10:08,Expense,158.65,Beauty,
2015-09-21 03:54:38,Expense,637.44,Packet,
2015-02-23 08:09:42,Income,387.73,Stock,
2015-01-07 10:03:45,Income,128.59,Salary,event
2015-12-15 13:48:29,Expense,523.45,Property,
2015-03-25 13:24:29,Expense,665.67,Sale,
2015-10-16 20:33:42,Income,5029.00,Salary,
2015-02-27 17:11:59,Expense,477.56,&,
2015-11-18 21:50:02,Expense,483.84,Car,
2015-12-15 14:32:58,Income,390.56,Gift,
2015-08-12 22:27:02,Income,365.46,Stock,
2015-01-23 11:58:15,Income,124.48,Part-time,
2015-11-04 21:01:47,Expense,35.28,Snacks,
2015-04-26 07:21:03,Income,171.43,Gift,
2015-02-16 15:29:49,Income,131.80,Reimbursement,for
2015-04-08 06:56:38,Expense,622.31,Clothing,plan
2015-11-18 14:54:30,Income,264.10,Stock,
2015-10-07 23:50:59,Expense,126.25,Social,
2015-09-19 03:39:57,Income,219.58,Interest,
2015-08-24 05:28:22,Income,447.62,Part-time,
2015-03-19 10:03:16,Income,31.99,Gift,
2015-07-03 01:32:51,Income,66.77,Salary,fee
2015-04-02 19:38:46,Income,266.08,Salary,
2015-03-21 11:33:39,Expense,746.67,Shopping,
2015-07-09 07:50:27,Income,192.69,Bonus,
2015-04-10 14:05:54,Expense,538.05,Home,
2015-07-21 21:01:37,Expense,5.60,Second-hand,
2015-08-09 00:42:29,Income,144.13,Reimbursement,
2015-08-21 03:33:04,Income,456.58,Work,Drinks
2015-03-07 18:34:25,Expense,798.57,Tobacco,Annual
2015-05-17 12:33:02,Expense,707.07,Lover,
2015-01-02 23:46:02,Income,92.82,Salary,income
2015-08-06 10:59:31,Income,70.92,Bonus,
2015-06-16 09:05:14,Income,196.66,Work,
2015-03-04 00:19:16,Income,332.61,Interest,
2015-07-08 14:43:05,Expense,484.41,Red,
2015-02-03 16:03:27,Income,5083.00,Salary,
2015-02-13 09:15:46,Income,220.93,Reimbursement,
2015-05-15 17:22:44,Expense,490.28,Shopping,
2015-07-07 08:49:50,Expense,145.42,&,
2015-06-10 10:45:42,Income,69.30,Part-time,
2015-03-17 06:10:17,Income,113.99,Stock,Annual
2015-09-11 13:21:42,Income,467.38,Investment,
2015-09-12 23:54:29,Expense,413.70,Digital,
2015-06-06 02:15:06,Expense,690.93,Packet,
2015-01-05 07:29:48,Expense,545.45,Shopping,
2015-10-05 02:45:41,Income,209.04,Reimbursement,
2015-06-06 12:27:59,Income,214.03,Stock,gathering
2015-09-20 19:59:42,Expense,760.04,Medical,
2015-11-05 20:32:03,Income,56.82,Investment,
2015-03-24 19:57:35,Expense,349.51,Digital,
2015-05-18 16:39:46,Expense,788.45,Security,
2015-12-13 20:07:31,Expense,322.57,Car,
2015-03-08 16:12:45,Expense,790.68,Game,Dinner
2015-02-03 08:02:17,Income,152.54,Reimbursement,
2015-09-04 07:02:52,Income,455.98,Part-time,
2015-02-19 05:07:52,Expense,376.77,Home,
2015-09-04 19:30:08,Income,241.23,Salary,
2015-01-13 03:10:35,Income,167.93,Reimbursement,
2015-04-05 05:03:09,Income,161.09,Investment,
2015-07-05 17:44:42,Income,458.14,Work,
2015-03-26 08:08:35,Expense,323.76,Social,
2015-06-18 14:25:04,Expense,163.16,Daily,
2015-10-06 02:57:21,Expense,574.15,&,
2015-03-23 06:53:31,Income,303.29,Bonus,
2015-06-09 00:13:42,Expense,562.77,Red,
2015-04-25 18:20:23,Expense,98.40,Baby,
2015-10-02 16:32:34,Income,74.01,Reimbursement,
2015-04-28 21:51:20,Income,367.25,Interest,
2015-12-08 01:12:23,Expense,500.96,Travel,
2015-02-02 20:24:26,Expense,758.02,Pets,
2015-12-18 17:55:32,Expense,63.49,Game,
2015-02-25 18:01:22,Expense,608.53,Social,
2015-11-11 20:05:49,Expense,774.99,Parking,
2015-06-20 18:52:35,Income,10.59,Stock,
2015-09-22 15:19:59,Income,85.78,Investment,
2015-07-21 12:39:25,Income,155.36,Investment,
2015-12-16 03:09:14,Expense,359.20,Provident,
2015-03-09 12:08:12,Expense,153.42,Repair,
2015-07-01 14:29:05,Income,88.72,Work,
2015-01-06 23:27:36,Expense,684.12,Home,
2015-05-15 03:12:56,Income,162.64,Reimbursement,
2015-03-02 17:03:28,Expense,504.83,Security,
2015-10-06 03:17:04,Expense,213.36,Social,
2015-06-04 13:57:26,Expense,477.10,Decoration,
2015-02-10 05:47:00,Income,199.60,Interest,
2015-03-17 22:41:55,Expense,402.08,Dining,
2015-07-28 11:52:00,Income,118.24,Bonus,
2015-04-05 04:10:03,Expense,22.71,Social,
2015-10-09 22:41:07,Income,363.92,Salary,
2015-09-26 08:10:39,Expense,388.49,Lottery,
2015-10-11 10:37:30,Income,82.24,Salary,
2015-08-13 07:06:45,Expense,181.34,Repair,
2015-11-15 08:54:56,Expense,731.44,Fund,
2015-04-01 20:28:41,Income,218.13,Part-time,
2015-05-14 18:40:56,Expense,640.15,Car,
2015-12-21 02:18:42,Expense,78.54,Shopping,
2015-02-18 14:43:49,Income,481.53,Salary,
2015-06-05 18:22:59,Expense,379.48,Provident,
2015-11-25 22:04:13,Expense,792.58,Security,
2015-02-23 18:38:24,Expense,47.06,Alcohol,
2015-08-28 10:57:11,Income,23.73,Investment,
2015-07-27 07:10:50,Income,234.63,Stock,
2015-10-08 18:41:48,Expense,217.16,Security,
2015-11-28 02:49:05,Expense,651.20,Tax,
2015-06-18 01:35:08,Expense,665.97,Refund,
2015-02-04 20:28:17,Income,452.46,Salary,
2015-01-05 13:26:02,Income,377.02,Bonus,
2015-10-26 00:05:24,Income,410.90,Work,
2015-09-14 05:01:21,Expense,234.31,Home,
2015-12-04 07:52:12,Expense,42.10,Beverage,
2015-04-02 23:29:00,Expense,79.05,Decoration,
2015-09-12 19:35:06,Income,204.49,Work,
2015-06-11 18:26:23,Income,84.46,Salary,
2015-06-10 14:24:13,Income,464.02,Reimbursement,
2015-03-07 12:34:24,Expense,663.04,Security,
2015-06-20 07:16:05,Income,422.50,Gift,
2015-07-06 12:35:01,Income,498.24,Gift,
2015-11-01 23:29:54,Income,110.65,Bonus,
2015-02-09 17:14:40,Expense,576.73,Provident,
2015-02-17 04:26:03,Income,239.07,Gift,
2015-12-10 20:57:33,Income,42.61,Work,Annual
2015-05-23 00:41:43,Expense,344.30,Fund,
2015-04-17 08:23:26,Expense,341.68,&,
2015-10-13 23:20:31,Expense,689.59,Red,
2015-09-26 17:00:13,Income,169.87,Bonus,
2015-12-14 14:08:03,Income,4985.00,Salary,
2015-09-27 21:03:06,Expense,604.11,Subway,
2015-05-13 12:00:43,Income,198.99,Salary,
2015-04-27 08:47:05,Income,217.80,Salary,Lunch
2015-02-07 06:53:51,Expense,304.94,Packet,Family
2015-01-05 13:58:57,Income,409.04,Investment,
2015-04-26 12:35:55,Expense,466.74,Tax,
2015-11-01 17:30:31,Income,497.41,Gift,
2015-05-20 09:57:00,Income,343.99,Gift,
2015-08-23 10:04:42,Income,212.60,Work,
2015-05-25 02:45:30,Income,305.91,Gift,
2015-03-12 12:38:53,Expense,549.74,Goods,Communication
2015-02-05 14:12:55,Income,125.14,Investment,
2015-09-25 20:36:28,Income,195.08,Gift,
2015-03-07 17:13:16,Expense,170.45,Second-hand,
2015-02-13 15:31:18,Expense,762.96,Snacks,
2015-11-17 18:07:26,Expense,44.25,Donation,
2015-04-24 18:47:14,Expense,319.42,Beauty,
2015-03-07 05:47:13,Income,430.18,Investment,
2015-10-15 02:12:22,Income,56.13,Investment,
2015-04-08 04:38:48,Income,397.48,Gift,
2015-03-21 07:37:08,Expense,455.25,Communication,
2015-09-25 06:58:06,Income,232.51,Investment,Lottery
2015-11-10 12:05:45,Expense,485.13,&,
2015-05-08 17:33:29,Expense,291.84,Lover,Social
2015-03-05 19:03:51,Expense,443.07,Refund,
2015-11-03 11:06:05,Expense,21.31,Social,goods
2015-07-12 01:29:16,Income,320.45,Reimbursement,
2015-04-19 05:19:54,Expense,575.48,Daily,
2015-12-19 01:20:33,Income,395.74,Work,
2015-08-18 17:17:13,Expense,252.11,Snacks,
2015-02-26 11:47:37,Income,368.42,Interest,
2015-09-17 18:56:46,Expense,740.21,Delivery,
2015-04-10 14:07:23,Expense,617.35,Sports,
2015-07-12 00:39:05,Expense,167.20,Sale,
2015-05-18 07:00:28,Income,230.47,Part-time,
2015-01-23 19:54:07,Income,279.53,Salary,
2015-12-11 02:29:03,Income,343.16,Salary,
2015-01-02 03:27:18,Expense,619.31,Property,
2015-09-11 00:49:49,Income,338.31,Reimbursement,
2015-04-26 05:21:03,Expense,509.75,Sports,
2015-01-12 03:35:39,Income,293.66,Work,
2015-03-05 01:18:28,Income,367.55,Investment,
2015-10-21 01:23:37,Expense,433.90,Social,
2015-03-04 02:20:31,Expense,278.58,Provident,
2015-02-22 01:31:30,Income,461.66,Work,
2015-10-08 05:19:03,Expense,415.17,Repair,
2015-12-11 18:59:09,Income,76.87,Salary,Annual
2015-06-03 15:28:32,Expense,626.25,Beverage,
2015-03-19 01:11:09,Income,288.09,Interest,fee
2015-02-14 14:50:30,Income,431.11,Bonus,
2015-08-13 11:37:51,Income,343.72,Part-time,
2015-05-03 03:43:32,Income,228.32,Bonus,
2015-03-25 17:30:27,Expense,13.00,Beverage,
2015-06-03 14:42:09,Income,322.43,Salary,
2015-04-04 10:33:07,Expense,122.20,Utilities,
2015-03-02 08:00:38,Expense,634.08,Decoration,
2015-04-08 07:23:35,Income,90.85,Salary,
2015-06-11 12:35:40,Income,360.29,Stock,
2015-03-17 09:26:20,Income,394.00,Interest,
2015-02-20 08:11:53,Expense,312.43,Provident,
2015-09-09 15:56:05,Expense,190.81,Digital,
2015-10-03 09:01:32,Income,189.10,Interest,
2015-12-17 14:08:51,Income,295.75,Gift,
2015-07-10 00:04:19,Expense,345.84,Refund,
2015-07-17 16:03:33,Income,164.58,Salary,
2015-11-18 03:26:44,Income,416.65,Bonus,
2015-04-17 09:52:53,Expense,454.78,Daily,
2015-04-01 03:04:14,Expense,284.09,Parking,
2015-04-21 13:47:37,Income,346.26,Part-time,
2015-01-06 11:26:56,Expense,342.69,Social,
2015-02-12 10:53:28,Expense,127.88,Game,
2015-09-13 22:19:08,Expense,542.89,Red,
2015-09-01 09:28:29,Income,321.25,Bonus,
2015-07-11 15:41:36,Expense,203.55,Subway,
2015-12-14 18:51:44,Expense,551.98,Sports,Annual
2015-04-01 20:44:17,Income,281.22,Reimbursement,
2015-04-23 09:23:12,Income,129.36,Bonus,
2015-07-01 15:20:00,Income,415.81,Gift,
2015-10-17 15:52:38,Income,359.72,Salary,
2015-09-01 15:37:34,Expense,406.14,Digital,
2015-04-06 19:28:58,Expense,47.48,Housing,
2015-02-08 04:02:04,Expense,590.52,Benefit,balance
2015-12-02 18:16:04,Income,367.05,Gift,
2015-12-24 02:37:47,Income,402.52,Reimbursement,
2015-06-14 11:20:09,Expense,390.69,Beverage,
2015-10-08 13:12:40,Income,228.11,Reimbursement,
2015-05-01 05:57:42,Expense,236.87,Social,
2015-07-16 12:26:58,Income,231.03,Work,
2015-04-05 16:41:21,Income,296.37,Bonus,red
2015-01-25 21:48:41,Expense,400.20,Benefit,
2015-04-06 02:10:56,Income,101.16,Work,
2015-12-08 17:41:21,Income,216.71,Interest,
2015-05-19 21:50:56,Income,223.38,Part-time,
2015-08-12 00:51:54,Expense,264.64,Communication,bonus
2015-12-15 15:58:07,Expense,354.47,Subway,
2015-10-02 07:52:00,Expense,549.93,Travel,
2015-11-11 11:08:32,Expense,390.27,Taxi,
2015-12-12 19:11:42,Expense,294.20,Pets,
2015-02-20 03:15:49,Income,189.34,Gift,
2015-04-21 05:21:51,Income,202.99,Reimbursement,
2015-01-19 19:29:26,Expense,789.73,Daily,Family
2015-07-22 08:25:28,Expense,114.98,Housing,Annual
2015-01-03 03:00:35,Income,55.04,Reimbursement,
2015-06-21 14:16:46,Expense,784.75,Donation,
2015-01-17 12:27:44,Income,481.65,Part-time,
2015-05-15 23:16:20,Expense,479.37,Alcohol,fee
2015-12-05 14:55:07,Income,438.74,Gift,
2015-01-15 11:45:12,Expense,498.92,Social,
2015-08-22 04:58:36,Expense,742.37,Communication,
2015-07-09 20:21:56,Expense,798.40,Taxi,
2015-11-03 12:11:07,Income,216.29,Interest,
2015-12-27 07:46:28,Income,475.36,Interest,
2015-01-09 07:36:54,Income,245.83,Part-time,
2015-10-22 02:10:02,Income,361.14,Salary,
2015-01-04 12:06:08,Income,496.04,Bonus,
2015-03-12 08:49:55,Expense,439.95,Transport,
2015-12-22 10:00:04,Expense,134.48,Tax,
2015-02-20 01:35:49,Expense,414.04,Taxi,
2015-08-09 17:35:33,Expense,485.51,Social,
2015-01-04 17:37:42,Expense,17.79,Alcohol,audit
2015-09-08 21:27:15,Expense,155.66,Property,
2015-10-05 16:09:55,Income,337.99,Investment,
2015-10-09 02:40:24,Income,36.97,Bonus,
2015-06-16 06:49:39,Income,136.20,Part-time,
2015-06-23 13:45:16,Income,425.88,Part-time,
2015-10-23 23:46:16,Expense,340.68,Shopping,
2015-02-02 03:59:16,Expense,169.89,Social,sheet
2015-07-07 00:34:26,Income,486.95,Investment,
2015-09-08 07:36:45,Expense,309.59,Digital,
2015-09-22 14:18:05,Expense,246.31,&,
2015-06-23 21:14:29,Expense,539.35,Express,Lottery
2015-02-10 00:51:39,Expense,166.22,Digital,
2015-09-08 22:15:30,Expense,368.01,Goods,
2015-09-06 02:20:02,Expense,116.69,Beauty,
2015-03-11 19:47:52,Income,407.56,Investment,
2015-03-27 05:02:41,Expense,408.06,Refund,
2015-07-02 15:23:35,Expense,98.86,Beverage,
2015-02-26 20:50:48,Expense,473.18,Game,
2015-02-28 06:52:25,Income,146.43,Bonus,expense
2015-05-26 17:27:16,Expense,171.11,Tax,
2015-06-03 02:30:25,Income,419.29,Salary,
2015-03-19 10:05:54,Income,86.59,Part-time,
2015-11-25 21:17:23,Expense,303.36,Shopping,
2015-03-18 18:14:34,Expense,437.81,Digital,
2015-04-14 16:15:27,Income,266.22,Part-time,
2015-06-24 22:19:10,Income,441.23,Investment,
